word,frequency
embrace,12.0
unless,12.0
rejoice,12.0
james,12.0
ms,12.0
united,12.0
date,12.0
~,12.0
@starfootball,12.0
treasure,12.0
wealth,12.0
comeback,12.0
waste,12.0
excuse,12.0
@parralox,12.0
happ,12.0
changed,12.0
delicious,12.0
thrill,12.0
adult,12.0
basically,12.0
25,12.0
friday,12.0
finds,12.0
joy),12.0
actual,12.0
hopefully,12.0
movies,12.0
princess,12.0
per,12.0
sis,12.0
mama,11.0
stream,11.0
earlier,11.0
god's,11.0
gotten,11.0
goddess,11.0
2018,11.0
@tundeeddnut,11.0
action,11.0
decision,11.0
buying,11.0
players,11.0
clean,11.0
taiwannationalday,11.0
role,11.0
david,11.0
wave,11.0
pick,11.0
@wale__babs,11.0
peoples,11.0
four,11.0
concerts,11.0
@larryschweikart,11.0
enhypen,11.0
killed,11.0
covid-19,11.0
knowledge,11.0
babies,11.0
carry,11.0
trending,11.0
stages,11.0
finals,11.0
note,11.0
brothers,11.0
confidence,11.0
relate,11.0
one's,11.0
cold,11.0
page,11.0
final,11.0
@iampaulotolosa,11.0
favor,11.0
@gyaigyimii,11.0
herself,11.0
@joy_mala_,11.0
priority,11.0
bday,11.0
provide,11.0
pleasures,11.0
li,11.0
copycat,11.0
infinite,11.0
debate,11.0
whose,11.0
none,11.0
saved,11.0
lift,11.0
immeasurable,11.0
imitation,11.0
poetry,11.0
involved,11.0
despite,11.0
various,11.0
leaders,11.0
watch:,11.0
jhope,11.0
pop,11.0
bottom,11.0
anjantv,11.0
mighty,11.0
tag,11.0
hindi,11.0
miserable,11.0
river,11.0
@ibossy__,11.0
--,11.0
helping,11.0
hugs,11.0
voted,11.0
hoping,11.0
oznationlive,11.0
thanksgiving,11.0
43,11.0
deserves,11.0
followed,11.0
w/,11.0
ease,11.0
reward,11.0
rajvidyakender,11.0
silly,11.0
epic,11.0
@wo_kwasia,11.0
quiz:,11.0
relaxing,11.0
clearly,11.0
people's,11.0
coach,11.0
society,11.0
debut,11.0
officer,11.0
screen,11.0
dead,11.0
creativity,11.0
connect,11.0
sisters,11.0
church,11.0
console,11.0
vol,11.0
teaching,11.0
disappointment,11.0
liked,11.0
@mrsghana1,11.0
@aproko_doctor,11.0
breath,11.0
gifts,11.0
burst,11.0
happyjoshday,11.0
march,11.0
@vladimiroyibode,11.0
followers,11.0
tour,11.0
behold,11.0
everywhere,11.0
@koftownflower,11.0
contagious,11.0
pile,11.0
wasn't,11.0
@yalonda_joy,11.0
alright,11.0
peaceiswithinyou,11.0
pic,11.0
solo,11.0
crush,11.0
article,11.0
@joybrnekrx,11.0
flattery,11.0
standing,11.0
